state1,state2,distance,estoque
Igreja Nova,Atalaia,0.8927925135339325,81
Inhapi,Atalaia,1.7484885227525897,81
Jacaré dos Homens,Atalaia,1.1894724035325237,81
Jacuípe,Atalaia,0.8675745333904462,81
Japaratinga,Atalaia,0.8691659564643212,81
Jaramataia,Atalaia,0.9917527973800327,81
Jequiá da Praia,Atalaia,0.5122692946555686,81
Joaquim Gomes,Atalaia,0.459558379665724,81
Jundiá,Atalaia,0.7235272930768798,81
Junqueiro,Atalaia,0.6200568099221718,81
Lagoa da Canoa,Atalaia,0.7865515060089465,81
Limoeiro de Anadia,Atalaia,0.5360366240712312,81
Maceió,Atalaia,0.330931742057529,81
Major Isidoro,Atalaia,0.9626984724021508,81
Mar Vermelho,Atalaia,0.3693129465225059,81
Maragogi,Atalaia,0.9382283179179792,81
Maravilha,Atalaia,1.3536919395800353,81
Marechal Deodoro,Atalaia,0.2443970913730438,81
Maribondo,Atalaia,0.2923576471159252,81
Mata Grande,Atalaia,1.7521409302639424,81
Matriz de Camaragibe,Atalaia,0.6018723999341292,81
Messias,Atalaia,0.2164944115835608,81
Minador do Negrão,Atalaia,0.8646087122558113,81
Monteirópolis,Atalaia,1.2296966214738518,81
Murici,Atalaia,0.2108194256868024,81
Novo Lino,Atalaia,0.6971107148548412,81
Olho d'Água das Flores,Atalaia,1.2715702174481889,81
Olho d'Água do Casado,Atalaia,1.811111111111117,81
Olho d'Água Grande,Atalaia,0.9694473495658524,81
Olivença,Atalaia,1.1678967060701055,81
Ouro Branco,Atalaia,1.3753802224013731,81
Palestina,Atalaia,1.3174034799606256,81
Palmeira dos Índios,Atalaia,0.6120957975938881,81
Pão de Açúcar,Atalaia,1.4351965979235544,81
Pariconha,Atalaia,1.9975454459515996,81
Paripueira,Atalaia,0.472557479030495,81
Passo de Camaragibe,Atalaia,0.5914408150054584,81
Paulo Jacinto,Atalaia,0.3725870931410663,81
Penedo,Atalaia,0.9690856149032194,81
Piaçabuçu,Atalaia,0.9929665072739868,81
Pilar,Atalaia,0.1159678142874859,81
Pindoba,Atalaia,0.2685494873584648,81
Piranhas,Atalaia,1.738152311159794,81
Poço das Trincheiras,Atalaia,1.276909125028186,81
Porto Calvo,Atalaia,0.7737758651613335,81
Porto de Pedras,Atalaia,0.8048161836756136,81
Porto Real do Colégio,Atalaia,1.0656247805111856,81
Quebrangulo,Atalaia,0.4842645085049508,81
Rio Largo,Atalaia,0.1710815721256607,81
