state1,state2,distance
Connecticut,Iowa,633793.2034607187
Connecticut,Kansas,258431.26259220263
Connecticut,Kentucky,132223.5980753814
Connecticut,Louisiana,219699.66755778217
Connecticut,Maine,51172.49848307194
Connecticut,Maryland,379346.76404577383
Connecticut,Massachusetts,11185.804798940486
Connecticut,Michigan,129722.96922673332
Connecticut,Minnesota,220752.0105095308
Connecticut,Mississippi,191293.6618134537
Connecticut,Missouri,635654.2319799341
Connecticut,Montana,373034.3716924756
Connecticut,Nebraska,270679.3064957127
Connecticut,Nevada,439637.38287479605
Connecticut,New Hampshire,23561.851370382592
Connecticut,New Jersey,24152.23320937424
Connecticut,New Mexico,341559.891546124
Connecticut,New York,31001.86745988054
Connecticut,North Carolina,90088.68441707871
Connecticut,North Dakota,283442.73587446194
Connecticut,Ohio,101546.29655974658
Connecticut,Oklahoma,254912.01972445316
Connecticut,Oregon,478868.30317844177
Connecticut,Pennsylvania,51265.45204131141
Connecticut,Rhode Island,11723.581790562132
Connecticut,South Carolina,112294.7994387986
Connecticut,South Dakota,276434.6112121273
Connecticut,Tennessee,404021.8411732217
Connecticut,Texas,284730.20030372613
Connecticut,Utah,390118.3099983901
Connecticut,Vermont,24475.727752203813
Connecticut,Virginia,73719.77829592273
Connecticut,Washington,480663.5539023112
Connecticut,West Virginia,84394.13614700965
Connecticut,Wisconsin,175258.89078731497
Connecticut,Wyoming,348509.87613696116
Delaware,Alabama,795210.637459032
Delaware,Alaska,1468845.0691785025
Delaware,Arizona,1042164.226268106
Delaware,Arkansas,849908.4786051967
Delaware,California,1119336.623856291
Delaware,Colorado,979973.00294702
Delaware,Connecticut,652299.3378449805
Delaware,Delaware,0.0
Delaware,Florida,756121.7569578328
Delaware,Georgia,761571.3503027803
Delaware,Hawaii,1499930.6293242364
Delaware,Idaho,66361.05358566875
Delaware,Illinois,816527.7846105422
Delaware,Indiana,787362.9663865325
Delaware,Iowa,35717.042234765184
Delaware,Kansas,908312.5371159422
Delaware,Kentucky,777652.10965894
Delaware,Louisiana,848169.5038245599
Delaware,Maine,620213.1088021278
Delaware,Maryland,776216.9197440881
Delaware,Massachusetts,643409.4933119965
Delaware,Michigan,780437.7876871417
Delaware,Minnesota,870606.4244105944
Delaware,Mississippi,823550.4519778979
Delaware,Missouri,18096.218085555887
Delaware,Montana,1024007.404145595
Delaware,Nebraska,922797.8951211364
Delaware,Nevada,1090812.277020203
Delaware,New Hampshire,642021.9839826359
Delaware,New Jersey,671330.4550294139
Delaware,New Mexico,986685.7079465578
Delaware,New York,680917.9277512085
Delaware,North Carolina,719192.2533683188
Delaware,North Dakota,932997.9430529309
Delaware,Ohio,752543.7075545845
Delaware,Oklahoma,900080.6585484437
Delaware,Oregon,1131158.9630480767
Delaware,Pennsylvania,702744.7960006534
Delaware,Rhode Island,640620.5938033838
Delaware,South Carolina,735211.0807176399
Delaware,South Dakota,928361.8722098619
Delaware,Tennessee,863878.9877314994
Delaware,Texas,920877.6023826402
Delaware,Utah,1041202.7921999634
Delaware,Vermont,653130.886645242
Delaware,Virginia,713183.1214947533
Delaware,Washington,1132082.475789198
Delaware,West Virginia,730730.3199217889
Delaware,Wisconsin,826359.3059347732
Delaware,Wyoming,1000809.114551821
Florida,Alabama,60323.30578640398
Florida,Alaska,783062.6575345041
Florida,Arizona,297507.46502566955
Florida,Arkansas,117935.14204850054
Florida,California,379952.2429161328
Florida,Colorado,253177.9398960344
Florida,Connecticut,162265.68821534637
Florida,Delaware,756121.7569578328
Florida,Florida,0.0
Florida,Georgia,41320.66239788515
Florida,Hawaii,743927.1929994224
Florida,Idaho,727082.1075174385
