state1,state2,distance,estoque
Vermont,Delaware,653130.886645242,86
Virginia,Delaware,713183.1214947533,86
Washington,Delaware,1132082.475789198,86
West Virginia,Delaware,730730.3199217889,86
Wisconsin,Delaware,826359.3059347732,86
Wyoming,Delaware,1000809.114551821,86
Alabama,Florida,60323.30578640398,37
Alaska,Florida,783062.6575345041,37
Arizona,Florida,297507.46502566955,37
Arkansas,Florida,117935.14204850054,37
California,Florida,379952.2429161328,37
Colorado,Florida,253177.9398960344,37
Connecticut,Florida,162265.68821534637,37
Delaware,Florida,756121.7569578328,37
Florida,Florida,0.0,0
Georgia,Florida,41320.66239788515,37
Hawaii,Florida,743927.1929994224,37
Idaho,Florida,727082.1075174385,37
Illinois,Florida,132565.00129370496,37
Indiana,Florida,118976.6343867568,37
Iowa,Florida,743261.8575690535,37
Kansas,Florida,187368.5984176644,37
Kentucky,Florida,93499.17828515929,37
Louisiana,Florida,98535.73614176735,37
Maine,Florida,213217.33714921027,37
Maryland,Florida,253642.9857969662,37
Massachusetts,Florida,172913.78220662457,37
Michigan,Florida,159926.07751395644,37
Minnesota,Florida,212622.86128260056,37
Mississippi,Florida,83041.78612000105,37
Missouri,Florida,738471.9355818473,37
Montana,Florida,328378.67802279734,37
Nebraska,Florida,216208.53231313516,37
Nevada,Florida,358166.2609473428,37
New Hampshire,Florida,185641.85033553184,37
New Jersey,Florida,139326.37856845342,37
New Mexico,Florida,243577.90211141892,37
New York,Florida,159085.97276315722,37
North Carolina,Florida,75719.37601433335,37
North Dakota,Florida,260530.38337207428,37
Ohio,Florida,116607.75209650517,37
Oklahoma,Florida,165758.65579812115,37
Oregon,Florida,410664.1284030053,37
Pennsylvania,Florida,131006.54020696828,37
Rhode Island,Florida,169958.415719846,37
South Carolina,Florida,55098.789324267374,37
South Dakota,Florida,237925.15167589995,37
Tennessee,Florida,253466.6129355107,37
Texas,Florida,171195.85429851973,37
Utah,Florida,311094.69448385003,37
Vermont,Florida,182773.82702400253,37
Virginia,Florida,95906.77609011784,37
Washington,Florida,423727.6555359586,37
West Virginia,Florida,101757.57326115832,37
Wisconsin,Florida,176838.799419132,37
Wyoming,Florida,289213.4632568131,37
Alabama,Georgia,33889.068473476815,6
Alaska,Georgia,756703.1225229615,6
Arizona,Georgia,282648.0695440887,6
Arkansas,Georgia,92775.45757903864,6
California,Georgia,363122.5610947356,6
Colorado,Georgia,230007.5628169648,6
Connecticut,Georgia,139808.88321204772,6
Delaware,Georgia,761571.3503027803,6
Florida,Georgia,41320.66239788515,6
Georgia,Georgia,0.0,0
Hawaii,Georgia,739691.7066352711,6
Idaho,Georgia,729274.8177504828,6
Illinois,Georgia,93739.17284145408,6
Indiana,Georgia,77885.54313221421,6
Iowa,Georgia,746911.3373058412,6
Kansas,Georgia,160432.5757693867,6
Kentucky,Georgia,52346.10443003376,6
Louisiana,Georgia,86975.51862449571,6
Maine,Georgia,190692.50222281943,6
Maryland,Georgia,294958.1002261169,6
Massachusetts,Georgia,150951.90760636315,6
Michigan,Georgia,118694.21081080576,6
Minnesota,Georgia,174363.4216026974,6
Mississippi,Georgia,62259.23309036178,6
Missouri,Georgia,744165.8080192881,6
Montana,Georgia,298937.35998198687,6
Nebraska,Georgia,186158.1075161649,6
Nevada,Georgia,338556.4190382454,6
New Hampshire,Georgia,162035.39837023267,6
New Jersey,Georgia,115715.08660498857,6
New Mexico,Georgia,227386.5086938977,6
New York,Georgia,130001.3157356494,6
North Carolina,Georgia,49934.73305225533,6
North Dakota,Georgia,225629.647176518,6
Ohio,Georgia,76721.90645441496,6
Oklahoma,Georgia,143574.8723314773,6
Oregon,Georgia,387954.4701250393,6
Pennsylvania,Georgia,99842.3900755586,6
Rhode Island,Georgia,149302.48124194052,6
South Carolina,Georgia,28477.67476462922,6
South Dakota,Georgia,205182.52204561676,6
Tennessee,Georgia,292008.4904416308,6
Texas,Georgia,159313.11923379067,6
Utah,Georgia,290036.5396445765,6
Vermont,Georgia,157073.33258067712,6
Virginia,Georgia,66986.86677998904,6
Washington,Georgia,398326.5557767898,6
West Virginia,Georgia,66290.75076509542,6
Wisconsin,Georgia,136568.5352085172,6
Wyoming,Georgia,262380.2682367712,6
Alabama,Hawaii,706570.9236792864,97
Alaska,Hawaii,439669.62436470407,97
Arizona,Hawaii,468485.32710641,97
Arkansas,Hawaii,655772.6487449748,97
California,Hawaii,405861.05883294594,97
Colorado,Hawaii,541583.8283276191,97
Connecticut,Hawaii,863229.6916580198,97
Delaware,Hawaii,1499930.6293242364,97
Florida,Hawaii,743927.1929994224,97
Georgia,Hawaii,739691.7066352711,97
Hawaii,Hawaii,0.0,0
Idaho,Hawaii,1468958.8374423566,97
Illinois,Hawaii,700199.9143701748,97
Indiana,Hawaii,727813.2510926137,97
Iowa,Hawaii,1486289.303284189,97
Kansas,Hawaii,607823.9256470577,97
Kentucky,Hawaii,731331.5862561933,97
Louisiana,Hawaii,652725.9562825734,97
Maine,Hawaii,906677.4306802832,97
Maryland,Hawaii,812524.6076076712,97
Massachusetts,Hawaii,873719.1524036771,97
Michigan,Hawaii,749293.8841502712,97
Minnesota,Hawaii,672893.9309103627,97
Mississippi,Hawaii,678566.3390192591,97
Missouri,Hawaii,1482326.6658068325,97
Montana,Hawaii,538587.2809638192,97
Nebraska,Hawaii,604358.5237232946,97
